Area,Listing_Type,Parking,Furnished,Bedrooms,Bathrooms,Size_Sqft,Price,Price_Type
Alwal,Rent,Yes,No,2,2,1140,12022,Monthly_Rent_INR
Ameerpet,Rent,No,No,1,1,651,17383,Monthly_Rent_INR
Kukatpally,Sale,Yes,Yes,3,3,1167,7447812,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,827,30536,Monthly_Rent_INR
Alwal,Rent,No,Yes,2,2,978,9762,Monthly_Rent_INR
Kompally,Sale,No,No,2,2,1104,7256622,Sale_Price_INR
Sainikpuri,Sale,No,No,2,2,895,5746414,Sale_Price_INR
Hitech City,Rent,No,No,2,1,963,36059,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,993,5721829,Sale_Price_INR
Hitech City,Sale,No,No,3,3,1316,16197448,Sale_Price_INR
Kukatpally,Rent,No,No,2,2,1012,21739,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,2,2,983,9446,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,1066,13003544,Sale_Price_INR
Gachibowli,Sale,Yes,No,4,4,1778,22434139,Sale_Price_INR
Sainikpuri,Sale,Yes,No,4,4,1866,11332812,Sale_Price_INR
Alwal,Sale,Yes,No,1,1,579,4280589,Sale_Price_INR
Ameerpet,Sale,No,No,2,2,771,4994389,Sale_Price_INR
Bowenpally,Rent,No,No,2,2,922,15678,Monthly_Rent_INR
Kompally,Sale,Yes,No,3,3,1227,9029853,Sale_Price_INR
Bowenpally,Rent,Yes,No,4,4,1485,21812,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,1000,10389742,Sale_Price_INR
Kompally,Rent,Yes,Yes,2,1,1184,26711,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,2,1,1274,15745964,Sale_Price_INR
Hitech City,Rent,Yes,Yes,2,1,881,37150,Monthly_Rent_INR
Alwal,Sale,Yes,No,2,1,1155,7589523,Sale_Price_INR
Hitech City,Rent,Yes,No,2,2,1041,44126,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,4,3,1758,19833168,Sale_Price_INR
Bowenpally,Rent,Yes,No,2,2,1099,16632,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,1154,12724152,Sale_Price_INR
Hitech City,Rent,Yes,No,1,1,606,24287,Monthly_Rent_INR
Kompally,Rent,No,No,3,2,1343,22088,Monthly_Rent_INR
Gachibowli,Sale,Yes,Yes,2,1,1089,13290044,Sale_Price_INR
Alwal,Rent,No,Yes,2,2,1127,14739,Monthly_Rent_INR
Alwal,Rent,Yes,No,2,1,911,11021,Monthly_Rent_INR
Alwal,Rent,Yes,No,3,3,1250,13518,Monthly_Rent_INR
Bowenpally,Sale,Yes,No,2,2,928,6272257,Sale_Price_INR
Hitech City,Sale,No,No,2,2,1050,11730199,Sale_Price_INR
Kompally,Sale,No,No,1,1,590,4156104,Sale_Price_INR
Madhapur,Rent,No,No,2,2,1025,34294,Monthly_Rent_INR
Ameerpet,Rent,Yes,Yes,2,1,895,24203,Monthly_Rent_INR
Kompally,Rent,Yes,No,2,1,1286,20189,Monthly_Rent_INR
ECIL,Rent,No,Yes,2,2,1114,12021,Monthly_Rent_INR
Gachibowli,Rent,No,No,2,2,1138,39316,Monthly_Rent_INR
Gachibowli,Sale,No,No,2,2,922,10442273,Sale_Price_INR
Alwal,Sale,No,Yes,2,2,1065,7595386,Sale_Price_INR
Hitech City,Rent,Yes,No,2,2,1195,46322,Monthly_Rent_INR
Kompally,Sale,Yes,Yes,2,1,1155,9846473,Sale_Price_INR
Kukatpally,Rent,Yes,Yes,3,3,1231,30957,Monthly_Rent_INR
Alwal,Rent,Yes,Yes,4,4,1567,21546,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,1,1,657,7581884,Sale_Price_INR
Gachibowli,Sale,No,No,2,1,1018,11920083,Sale_Price_INR
Hitech City,Rent,No,Yes,3,3,1652,58559,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,2,2,1111,25803,Monthly_Rent_INR
Kompally,Rent,Yes,No,1,1,484,8084,Monthly_Rent_INR
Sainikpuri,Rent,No,No,2,2,970,10037,Monthly_Rent_INR
ECIL,Sale,Yes,No,3,3,1497,8473224,Sale_Price_INR
ECIL,Sale,Yes,No,3,3,1424,7134384,Sale_Price_INR
Kukatpally,Sale,Yes,No,2,2,1196,6952212,Sale_Price_INR
Kukatpally,Sale,Yes,No,4,4,1771,10563985,Sale_Price_INR
Ameerpet,Rent,Yes,No,4,4,2140,50415,Monthly_Rent_INR
Kompally,Rent,No,No,2,2,1179,19449,Monthly_Rent_INR
Gachibowli,Sale,Yes,Yes,1,1,502,6621341,Sale_Price_INR
ECIL,Sale,Yes,No,2,2,1211,5913490,Sale_Price_INR
Ameerpet,Rent,No,No,3,2,1492,33917,Monthly_Rent_INR
ECIL,Sale,No,No,2,1,885,3824678,Sale_Price_INR
Hitech City,Sale,Yes,No,2,2,944,9778794,Sale_Price_INR
Hitech City,Rent,No,No,2,2,965,33917,Monthly_Rent_INR
Bowenpally,Rent,No,No,4,3,2033,27106,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,2,1104,13685,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,1075,5987209,Sale_Price_INR
Sainikpuri,Rent,Yes,No,3,3,1275,13277,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,1,1,589,7146100,Sale_Price_INR
Alwal,Rent,Yes,No,3,3,1356,15382,Monthly_Rent_INR
Alwal,Sale,Yes,Yes,1,1,663,5443059,Sale_Price_INR
Kompally,Sale,Yes,No,3,3,1338,10210473,Sale_Price_INR
Sainikpuri,Rent,Yes,No,3,3,1444,14492,Monthly_Rent_INR
Madhapur,Rent,Yes,No,2,2,964,31325,Monthly_Rent_INR
Sainikpuri,Rent,No,Yes,1,1,528,5734,Monthly_Rent_INR
Kompally,Rent,No,No,2,1,1189,19834,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,3,3,1431,20233,Monthly_Rent_INR
Sainikpuri,Sale,Yes,Yes,2,2,1034,7108998,Sale_Price_INR
Bowenpally,Sale,Yes,No,2,1,897,6479478,Sale_Price_INR
Hitech City,Sale,No,No,3,3,1284,13946265,Sale_Price_INR
Ameerpet,Sale,Yes,Yes,2,2,993,7491015,Sale_Price_INR
Madhapur,Sale,No,Yes,3,3,1489,17718824,Sale_Price_INR
Sainikpuri,Rent,Yes,No,2,1,1072,10167,Monthly_Rent_INR
Kompally,Rent,No,No,1,1,576,9664,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,3,3,1691,16976316,Sale_Price_INR
Bowenpally,Sale,No,No,1,1,632,4866092,Sale_Price_INR
Ameerpet,Rent,Yes,No,2,2,989,24765,Monthly_Rent_INR
ECIL,Rent,No,Yes,2,1,918,12618,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,951,9192020,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,3,3,1462,17238501,Sale_Price_INR
Kompally,Sale,Yes,No,3,3,1502,10875227,Sale_Price_INR
Kompally,Sale,No,No,2,2,1076,7073059,Sale_Price_INR
Ameerpet,Sale,No,Yes,2,2,942,6725910,Sale_Price_INR
Bowenpally,Rent,No,Yes,3,3,1393,23213,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,2,2,976,14586,Monthly_Rent_INR
Kompally,Sale,Yes,No,2,2,1109,8378942,Sale_Price_INR
Bowenpally,Sale,Yes,Yes,2,2,1057,9873983,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,2,1,1124,14000694,Sale_Price_INR
Sainikpuri,Rent,No,No,2,2,1166,11370,Monthly_Rent_INR
Kompally,Sale,Yes,No,2,2,1241,8795212,Sale_Price_INR
Hitech City,Sale,No,No,1,1,513,5819943,Sale_Price_INR
Madhapur,Sale,Yes,Yes,2,2,987,11575995,Sale_Price_INR
Gachibowli,Sale,Yes,No,2,1,865,9980505,Sale_Price_INR
Hitech City,Rent,No,No,2,1,1147,45344,Monthly_Rent_INR
Hitech City,Rent,Yes,No,3,3,1275,48812,Monthly_Rent_INR
Hitech City,Sale,Yes,No,1,1,641,7660377,Sale_Price_INR
Gachibowli,Sale,No,No,4,3,1763,20348796,Sale_Price_INR
ECIL,Rent,Yes,No,3,2,1573,18586,Monthly_Rent_INR
Gachibowli,Rent,Yes,Yes,2,1,974,41012,Monthly_Rent_INR
Bowenpally,Rent,No,No,1,1,635,9555,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,2,2,1000,9229,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,3,3,1503,21198,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,2,2,977,36197,Monthly_Rent_INR
Bowenpally,Sale,Yes,No,2,2,1064,8094345,Sale_Price_INR
Kukatpally,Sale,No,Yes,2,2,1145,6640294,Sale_Price_INR
Alwal,Rent,No,Yes,2,2,956,11399,Monthly_Rent_INR
Madhapur,Rent,Yes,Yes,2,2,1005,34705,Monthly_Rent_INR
Sainikpuri,Rent,No,Yes,4,4,1851,18767,Monthly_Rent_INR
Ameerpet,Rent,Yes,No,2,2,1178,34352,Monthly_Rent_INR
Sainikpuri,Rent,No,No,4,3,1774,17161,Monthly_Rent_INR
Ameerpet,Rent,No,No,2,1,866,21638,Monthly_Rent_INR
Kukatpally,Sale,No,Yes,2,2,1025,5288701,Sale_Price_INR
Alwal,Rent,Yes,No,2,1,978,11668,Monthly_Rent_INR
Hitech City,Sale,Yes,No,3,2,1162,12933190,Sale_Price_INR
Bowenpally,Rent,Yes,No,2,1,1235,18296,Monthly_Rent_INR
Kompally,Sale,Yes,Yes,2,2,1288,9244810,Sale_Price_INR
ECIL,Rent,Yes,No,3,2,1375,16033,Monthly_Rent_INR
Alwal,Rent,Yes,Yes,2,2,1145,14383,Monthly_Rent_INR
Alwal,Sale,Yes,Yes,2,2,1065,7411248,Sale_Price_INR
Bowenpally,Rent,Yes,No,2,1,939,15418,Monthly_Rent_INR
Alwal,Rent,No,No,3,2,1212,12623,Monthly_Rent_INR
Gachibowli,Rent,Yes,Yes,2,2,1153,47600,Monthly_Rent_INR
Alwal,Rent,Yes,No,2,1,998,11064,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,3,2,1397,35720,Monthly_Rent_INR
Kukatpally,Sale,Yes,Yes,3,3,1334,6821177,Sale_Price_INR
Kukatpally,Sale,No,Yes,3,3,1585,9110976,Sale_Price_INR
Ameerpet,Rent,No,No,2,1,1103,26264,Monthly_Rent_INR
Madhapur,Rent,Yes,No,2,2,901,28213,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,2,1,1010,10330,Monthly_Rent_INR
Ameerpet,Rent,Yes,Yes,2,2,965,27560,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,1066,6002386,Sale_Price_INR
Gachibowli,Rent,Yes,No,2,2,1147,44732,Monthly_Rent_INR
Gachibowli,Rent,No,No,3,3,1516,59790,Monthly_Rent_INR
Bowenpally,Rent,Yes,Yes,3,2,1225,22271,Monthly_Rent_INR
Alwal,Rent,No,Yes,2,2,1137,12464,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,3,3,1607,13105588,Sale_Price_INR
Alwal,Sale,No,Yes,2,2,1242,9100056,Sale_Price_INR
Kukatpally,Sale,Yes,Yes,2,2,1050,5627455,Sale_Price_INR
Kompally,Rent,No,No,2,2,1104,17438,Monthly_Rent_INR
Bowenpally,Rent,No,Yes,2,2,1055,18604,Monthly_Rent_INR
Madhapur,Rent,Yes,No,2,2,1204,43615,Monthly_Rent_INR
Kukatpally,Rent,Yes,Yes,2,2,1149,27129,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,1071,6213129,Sale_Price_INR
Sainikpuri,Sale,Yes,Yes,2,1,932,6413099,Sale_Price_INR
ECIL,Sale,No,Yes,2,2,1159,5974080,Sale_Price_INR
Sainikpuri,Rent,No,Yes,2,2,990,11172,Monthly_Rent_INR
Bowenpally,Sale,Yes,Yes,3,3,1250,10554606,Sale_Price_INR
Alwal,Sale,No,Yes,3,3,1337,10266805,Sale_Price_INR
Madhapur,Sale,Yes,No,3,3,1448,16122633,Sale_Price_INR
Gachibowli,Sale,Yes,No,3,2,1298,14988096,Sale_Price_INR
Ameerpet,Rent,No,No,3,3,1463,33989,Monthly_Rent_INR
Kukatpally,Rent,No,No,4,4,2246,60501,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,2,2,1231,48724,Monthly_Rent_INR
Alwal,Rent,Yes,Yes,2,2,1097,12993,Monthly_Rent_INR
Hitech City,Sale,Yes,No,2,1,917,10876143,Sale_Price_INR
Hitech City,Rent,No,No,2,2,1040,40700,Monthly_Rent_INR
Kompally,Sale,Yes,Yes,2,2,815,6274004,Sale_Price_INR
Alwal,Rent,No,No,2,2,1066,9821,Monthly_Rent_INR
Kompally,Rent,No,Yes,2,2,987,17876,Monthly_Rent_INR
Bowenpally,Sale,Yes,No,2,2,1129,8353601,Sale_Price_INR
Kompally,Rent,Yes,No,3,3,1355,21151,Monthly_Rent_INR
Madhapur,Sale,No,No,3,2,1215,12598773,Sale_Price_INR
Sainikpuri,Rent,Yes,No,1,1,662,5890,Monthly_Rent_INR
Ameerpet,Rent,Yes,No,2,2,963,23180,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,2,2,1185,17596,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,2,2,959,10826298,Sale_Price_INR
Madhapur,Sale,Yes,Yes,2,1,1061,11642401,Sale_Price_INR
Sainikpuri,Sale,Yes,No,2,2,1180,7276423,Sale_Price_INR
Bowenpally,Rent,Yes,No,3,3,1487,21232,Monthly_Rent_INR
Alwal,Sale,No,No,3,3,1437,8787018,Sale_Price_INR
Kukatpally,Rent,Yes,No,4,4,1684,40692,Monthly_Rent_INR
Alwal,Rent,Yes,No,2,2,1069,11380,Monthly_Rent_INR
Gachibowli,Sale,No,No,2,2,1233,14040037,Sale_Price_INR
Sainikpuri,Rent,Yes,Yes,3,2,1454,15990,Monthly_Rent_INR
ECIL,Rent,No,No,3,3,1262,13109,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,983,4998348,Sale_Price_INR
ECIL,Sale,Yes,No,2,2,1011,5424302,Sale_Price_INR
Sainikpuri,Rent,Yes,Yes,2,2,1189,12890,Monthly_Rent_INR
Hitech City,Sale,No,Yes,2,1,1025,11570473,Sale_Price_INR
Bowenpally,Rent,No,No,2,2,999,15479,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,2,2,1147,12322211,Sale_Price_INR
Kompally,Rent,Yes,No,3,2,1386,24399,Monthly_Rent_INR
Kukatpally,Sale,No,No,2,1,947,5427573,Sale_Price_INR
Sainikpuri,Sale,Yes,No,2,2,1022,6836221,Sale_Price_INR
Kompally,Sale,Yes,Yes,2,1,1170,9594317,Sale_Price_INR
Kukatpally,Sale,Yes,No,3,3,1319,8064191,Sale_Price_INR
Sainikpuri,Sale,Yes,Yes,3,3,1375,8745954,Sale_Price_INR
Ameerpet,Rent,No,No,1,1,479,10262,Monthly_Rent_INR
Kompally,Rent,Yes,Yes,2,1,955,18674,Monthly_Rent_INR
Hitech City,Sale,Yes,No,2,1,1036,10427172,Sale_Price_INR
Hitech City,Sale,Yes,No,2,2,1048,12179928,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,2,2,1042,11463467,Sale_Price_INR
Sainikpuri,Sale,Yes,No,1,1,548,3187615,Sale_Price_INR
Madhapur,Sale,Yes,No,2,2,1137,12227176,Sale_Price_INR
Kukatpally,Sale,No,No,2,2,898,4724292,Sale_Price_INR
Hitech City,Sale,No,No,2,1,872,10720391,Sale_Price_INR
Gachibowli,Sale,Yes,No,3,3,1331,15053709,Sale_Price_INR
Kompally,Rent,Yes,No,3,3,1583,27372,Monthly_Rent_INR
ECIL,Rent,Yes,No,3,3,1374,13671,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,2,2,938,22504,Monthly_Rent_INR
Madhapur,Sale,Yes,No,3,3,1386,15809147,Sale_Price_INR
Ameerpet,Rent,Yes,No,2,1,1306,30104,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,3,3,1419,16489640,Sale_Price_INR
Hitech City,Sale,Yes,No,2,1,1119,13113484,Sale_Price_INR
Gachibowli,Rent,Yes,No,2,2,1292,41108,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,2,2,1152,13252117,Sale_Price_INR
Sainikpuri,Sale,No,No,2,1,995,6483273,Sale_Price_INR
ECIL,Sale,Yes,Yes,2,2,1283,7031082,Sale_Price_INR
Bowenpally,Rent,Yes,Yes,1,1,623,10237,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,3,3,1529,37666,Monthly_Rent_INR
Kukatpally,Sale,Yes,No,2,2,880,5241051,Sale_Price_INR
Kompally,Sale,No,Yes,2,2,1156,9474057,Sale_Price_INR
Sainikpuri,Rent,No,No,2,2,1081,11301,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,2,1,928,9693,Monthly_Rent_INR
Hitech City,Sale,Yes,No,2,1,1003,10570366,Sale_Price_INR
ECIL,Rent,Yes,Yes,1,1,614,7109,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,3,2,1658,12041036,Sale_Price_INR
Hitech City,Sale,No,Yes,2,2,1108,14387343,Sale_Price_INR
Gachibowli,Sale,No,No,2,1,1022,10483165,Sale_Price_INR
Kukatpally,Sale,Yes,No,2,1,1081,5980854,Sale_Price_INR
Bowenpally,Sale,Yes,No,2,2,1272,10751404,Sale_Price_INR
ECIL,Rent,Yes,Yes,2,1,1009,12623,Monthly_Rent_INR
Kukatpally,Rent,Yes,No,4,3,1909,46136,Monthly_Rent_INR
Alwal,Sale,No,No,2,1,1095,7121037,Sale_Price_INR
Kukatpally,Rent,Yes,No,1,1,632,15783,Monthly_Rent_INR
Ameerpet,Rent,No,No,2,2,999,25756,Monthly_Rent_INR
Madhapur,Rent,Yes,Yes,3,3,1524,50403,Monthly_Rent_INR
Sainikpuri,Sale,Yes,Yes,2,2,930,5696277,Sale_Price_INR
Gachibowli,Sale,Yes,No,2,2,978,10083231,Sale_Price_INR
Kompally,Sale,Yes,No,2,1,1059,7357460,Sale_Price_INR
Hitech City,Sale,Yes,No,2,2,942,10719152,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,1037,35527,Monthly_Rent_INR
Alwal,Sale,Yes,No,3,2,1715,12697348,Sale_Price_INR
Hitech City,Sale,Yes,No,2,2,1045,11229995,Sale_Price_INR
ECIL,Rent,Yes,No,2,2,953,12184,Monthly_Rent_INR
Kompally,Rent,Yes,Yes,2,2,949,17330,Monthly_Rent_INR
ECIL,Sale,Yes,No,1,1,512,2394547,Sale_Price_INR
Gachibowli,Sale,Yes,No,2,2,1035,11365213,Sale_Price_INR
Gachibowli,Sale,Yes,No,1,1,569,6696456,Sale_Price_INR
Gachibowli,Rent,No,No,2,2,1355,50658,Monthly_Rent_INR
ECIL,Sale,No,Yes,2,2,919,5761229,Sale_Price_INR
Kukatpally,Sale,No,Yes,2,1,1318,7527266,Sale_Price_INR
Ameerpet,Rent,Yes,No,2,1,953,23252,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,2,2,810,33136,Monthly_Rent_INR
Sainikpuri,Rent,No,Yes,2,1,1088,9931,Monthly_Rent_INR
Sainikpuri,Rent,No,Yes,3,3,1544,15855,Monthly_Rent_INR
ECIL,Sale,Yes,No,3,3,1310,6869418,Sale_Price_INR
Kompally,Sale,Yes,No,2,1,1142,8426025,Sale_Price_INR
Ameerpet,Sale,Yes,No,2,2,1091,7004486,Sale_Price_INR
Kukatpally,Rent,Yes,Yes,2,2,1130,26211,Monthly_Rent_INR
Ameerpet,Rent,Yes,Yes,2,1,1021,25843,Monthly_Rent_INR
Sainikpuri,Sale,Yes,No,1,1,559,3400197,Sale_Price_INR
Ameerpet,Rent,No,Yes,2,2,848,21967,Monthly_Rent_INR
Hitech City,Sale,Yes,No,2,2,1081,13822875,Sale_Price_INR
Madhapur,Rent,Yes,No,4,4,1203,38427,Monthly_Rent_INR
Kompally,Sale,Yes,Yes,1,1,572,4068842,Sale_Price_INR
Ameerpet,Rent,Yes,Yes,2,1,1063,32014,Monthly_Rent_INR
Ameerpet,Sale,Yes,Yes,2,2,1028,6929204,Sale_Price_INR
Ameerpet,Sale,Yes,No,3,3,1485,10660239,Sale_Price_INR
ECIL,Rent,Yes,No,4,4,1471,17559,Monthly_Rent_INR
Sainikpuri,Sale,Yes,No,3,3,1272,7437207,Sale_Price_INR
Kukatpally,Sale,Yes,No,2,2,1298,7005032,Sale_Price_INR
Kompally,Rent,Yes,Yes,2,1,1139,24169,Monthly_Rent_INR
Sainikpuri,Rent,Yes,No,3,3,1124,10307,Monthly_Rent_INR
Kompally,Rent,Yes,Yes,2,1,1021,19499,Monthly_Rent_INR
Kompally,Rent,No,Yes,2,2,864,17471,Monthly_Rent_INR
Kompally,Sale,No,Yes,2,2,1004,7257422,Sale_Price_INR
Kompally,Rent,Yes,No,2,1,1171,21915,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,1,1225,14937,Monthly_Rent_INR
Ameerpet,Rent,Yes,Yes,3,3,1359,36884,Monthly_Rent_INR
Ameerpet,Sale,Yes,Yes,2,1,1204,9719011,Sale_Price_INR
Gachibowli,Sale,Yes,Yes,2,2,1118,13834267,Sale_Price_INR
Kukatpally,Rent,No,No,3,3,1248,28908,Monthly_Rent_INR
ECIL,Rent,Yes,No,1,1,571,6914,Monthly_Rent_INR
Gachibowli,Sale,Yes,No,2,2,1016,12112324,Sale_Price_INR
Hitech City,Sale,No,Yes,2,2,886,10724429,Sale_Price_INR
Madhapur,Sale,No,No,3,3,1484,13910411,Sale_Price_INR
Kukatpally,Rent,Yes,Yes,2,1,1313,34730,Monthly_Rent_INR
Alwal,Sale,No,No,2,1,993,6676255,Sale_Price_INR
ECIL,Rent,Yes,No,3,3,1269,14528,Monthly_Rent_INR
Kompally,Sale,Yes,No,4,3,1923,13585213,Sale_Price_INR
Kukatpally,Sale,Yes,No,1,1,639,3735994,Sale_Price_INR
Ameerpet,Rent,Yes,No,3,3,1395,31888,Monthly_Rent_INR
ECIL,Rent,Yes,No,2,1,1126,12514,Monthly_Rent_INR
Madhapur,Sale,Yes,No,2,1,1122,10844023,Sale_Price_INR
ECIL,Sale,Yes,No,4,4,2219,12552292,Sale_Price_INR
Kukatpally,Sale,Yes,No,4,4,2359,13124180,Sale_Price_INR
ECIL,Rent,Yes,No,3,2,1172,10892,Monthly_Rent_INR
Alwal,Rent,Yes,Yes,2,2,956,13177,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,4,3,1994,26276472,Sale_Price_INR
Kukatpally,Sale,Yes,Yes,2,2,992,6061265,Sale_Price_INR
ECIL,Rent,Yes,No,3,3,1605,16425,Monthly_Rent_INR
Kompally,Rent,Yes,Yes,3,3,1526,28179,Monthly_Rent_INR
Bowenpally,Rent,Yes,No,2,1,1241,19332,Monthly_Rent_INR
Kompally,Sale,Yes,No,2,2,1077,8208004,Sale_Price_INR
Ameerpet,Rent,No,Yes,2,2,1192,31386,Monthly_Rent_INR
Ameerpet,Sale,Yes,No,1,1,566,3766589,Sale_Price_INR
Madhapur,Sale,Yes,No,3,2,1694,17826792,Sale_Price_INR
Madhapur,Rent,Yes,No,2,2,889,30225,Monthly_Rent_INR
Kukatpally,Sale,Yes,Yes,2,2,1057,6979122,Sale_Price_INR
Ameerpet,Sale,No,Yes,1,1,591,4037658,Sale_Price_INR
Kompally,Rent,Yes,No,3,3,1256,22372,Monthly_Rent_INR
Sainikpuri,Sale,No,No,2,2,1127,6767398,Sale_Price_INR
Hitech City,Sale,Yes,No,3,2,1519,17598563,Sale_Price_INR
Sainikpuri,Rent,Yes,Yes,3,3,1200,10475,Monthly_Rent_INR
Madhapur,Rent,Yes,No,2,1,892,33561,Monthly_Rent_INR
Gachibowli,Rent,Yes,No,2,2,759,30293,Monthly_Rent_INR
Bowenpally,Rent,No,No,3,2,1653,24114,Monthly_Rent_INR
Hitech City,Sale,Yes,Yes,2,1,1188,13911615,Sale_Price_INR
Gachibowli,Sale,Yes,No,2,2,1266,14690646,Sale_Price_INR
Madhapur,Rent,Yes,No,1,1,563,17154,Monthly_Rent_INR
Kukatpally,Sale,No,Yes,2,2,1001,5858114,Sale_Price_INR
Ameerpet,Sale,No,Yes,2,2,711,5438915,Sale_Price_INR
Kukatpally,Rent,Yes,Yes,3,2,1407,35236,Monthly_Rent_INR
Madhapur,Sale,No,No,4,3,1916,21618473,Sale_Price_INR
Ameerpet,Sale,No,No,2,2,946,6556674,Sale_Price_INR
Kompally,Sale,No,No,2,2,1150,8251226,Sale_Price_INR
Madhapur,Rent,No,No,2,2,1134,36099,Monthly_Rent_INR
Ameerpet,Rent,No,No,2,2,889,21019,Monthly_Rent_INR
Madhapur,Sale,Yes,Yes,2,1,981,11693950,Sale_Price_INR
Hitech City,Rent,Yes,No,2,1,934,39887,Monthly_Rent_INR
ECIL,Sale,No,No,3,2,1769,9409208,Sale_Price_INR
Madhapur,Sale,Yes,Yes,2,2,1286,14365665,Sale_Price_INR
Kukatpally,Sale,No,No,2,1,1185,6508862,Sale_Price_INR
Bowenpally,Rent,Yes,Yes,2,2,981,15401,Monthly_Rent_INR
